month,hour,weather,prob
12,18,rain,0.066
12,18,snow,0.0208
12,19,clear,0.9132
12,19,rain,0.066
12,19,snow,0.0208
12,20,clear,0.9147
12,20,rain,0.0636
12,20,snow,0.0217
12,21,clear,0.9147
12,21,rain,0.0636
12,21,snow,0.0217
12,22,clear,0.9147
12,22,rain,0.0636
12,22,snow,0.0217
12,23,clear,0.9147
12,23,rain,0.0636
12,23,snow,0.0217
