tm,stn,ta,rn,vs
202201150800,243,-4.6,-9.0,1533
202201150800,244,-6.7,-9.0,1213
202201150800,245,-4.8,-9.0,1920
202201150800,247,-6.3,-9.0,1410
202201150800,248,-8.2,-9.0,1305
202201150800,251,-5.2,-9.0,2982
202201150800,252,-4.5,-9.0,1008
202201150800,253,-3.0,-9.0,2658
202201150800,254,-6.5,-9.0,715
202201150800,255,-2.0,-9.0,4826
202201150800,257,-1.9,-9.0,1537
202201150800,258,-4.2,-9.0,4851
202201150800,259,-2.7,-9.0,1411
202201150800,260,-3.1,-9.0,2000
202201150800,261,-4.8,-9.0,1688
202201150800,262,-4.2,-9.0,2000
202201150800,263,-7.0,-9.0,2828
202201150800,264,-6.8,-9.0,3244
202201150800,266,-0.9,-9.0,1717
202201150800,268,-0.4,-9.0,2000
202201150800,271,-9.3,-9.0,1750
202201150800,272,-10.2,-9.0,1495
202201150800,273,-6.9,-9.0,2500
202201150800,276,-11.2,-9.0,3149
202201150800,277,-1.4,-9.0,2000
202201150800,278,-10.2,-9.0,2000
202201150800,279,-5.6,-9.0,1741
202201150800,281,-6.6,-9.0,1810
202201150800,283,-6.0,-9.0,3060
202201150800,284,-6.3,-9.0,552
202201150800,285,-5.3,-9.0,1986
202201150800,288,-4.2,-9.0,2676
202201150800,289,-6.0,-9.0,1846
202201150800,294,-0.7,-9.0,1290
202201150800,295,-1.9,-9.0,1735
202201151900,90,2.7,-9.0,4918
202201151900,93,-1.1,-9.0,1400
202201151900,95,-1.4,-9.0,5009
202201151900,98,0.6,-9.0,5301
202201151900,99,-1.0,-9.0,3128
202201151900,100,-1.7,-9.0,3322
202201151900,101,-0.6,-9.0,1489
202201151900,102,3.4,-9.0,1482
202201151900,104,5.0,-9.0,2000
202201151900,105,5.4,-9.0,5000
202201151900,106,5.0,-9.0,4382
202201151900,108,1.3,-9.0,2000
202201151900,112,2.1,-9.0,1863
202201151900,114,1.9,-9.0,1627
202201151900,115,3.4,-9.0,2000
202201151900,119,3.0,-9.0,2000
202201151900,121,2.7,-9.0,2000
202201151900,127,1.1,-9.0,1281
202201151900,129,2.3,-9.0,2096
202201151900,130,1.5,-9.0,3651
202201151900,131,3.4,-9.0,1105
202201151900,133,3.7,-9.0,2000
202201151900,135,2.8,-9.0,4217
202201151900,136,3.0,-9.0,1980
202201151900,137,3.9,-9.0,4902
202201151900,138,4.9,-9.0,2000
202201151900,140,3.9,-9.0,2000
202201151900,143,3.9,-9.0,2000
202201151900,146,5.2,-9.0,2000
202201151900,152,5.4,-9.0,2000
202201151900,155,3.2,-9.0,2000
202201151900,156,6.0,-9.0,2000
202201151900,159,5.4,-9.0,4953
202201151900,162,5.0,-9.0,2000
202201151900,165,5.2,-9.0,2000
202201151900,168,6.9,-9.0,2000
202201151900,169,5.7,-9.0,4966
202201151900,170,6.0,-9.0,2000
202201151900,172,3.8,-9.0,1729
202201151900,174,1.4,-9.0,1137
202201151900,177,4.4,-9.0,3738
202201151900,184,7.6,-9.0,3188
202201151900,185,6.5,-9.0,2000
202201151900,188,5.3,-9.0,2000
202201151900,189,8.2,-9.0,2000
202201151900,192,1.2,-9.0,1981
202201151900,201,0.3,-9.0,1504
202201151900,202,1.1,-9.0,1926
202201151900,203,0.6,-9.0,1528
202201151900,211,1.0,-9.0,2114
202201151900,212,0.6,-9.0,2692
202201151900,216,-0.2,-9.0,2000
202201151900,217,1.4,-9.0,1239
202201151900,221,0.6,-9.0,1897
202201151900,226,1.1,-9.0,2216
202201151900,232,1.4,-9.0,1361
202201151900,235,4.3,-9.0,2000
